threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.06,0.09,0.84,0.16,0.56
0.11,0.09,0.76,0.16,0.62
0.17,0.09,0.72,0.17,0.65
0.22,0.1,0.7,0.17,0.67
0.28,0.1,0.68,0.18,0.69
0.33,0.11,0.68,0.19,0.71
0.39,0.11,0.62,0.19,0.73
0.44,0.11,0.58,0.19,0.76
0.5,0.12,0.56,0.2,0.78
0.56,0.13,0.5,0.2,0.81
0.61,0.14,0.46,0.21,0.83
0.67,0.14,0.4,0.21,0.85
0.72,0.13,0.3,0.19,0.87
0.78,0.14,0.22,0.17,0.9
0.83,0.17,0.18,0.17,0.92
0.89,0.15,0.08,0.11,0.93
0.94,0.0,0.0,0.0,0.95
1.0,0.0,0.0,0.0,0.95
