threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.06,0.08,0.78,0.14,0.55
0.11,0.08,0.72,0.15,0.59
0.17,0.09,0.7,0.15,0.63
0.22,0.09,0.68,0.16,0.65
0.28,0.1,0.68,0.17,0.67
0.33,0.11,0.68,0.18,0.7
0.39,0.11,0.68,0.2,0.73
0.44,0.13,0.68,0.21,0.76
0.5,0.13,0.62,0.22,0.78
0.56,0.14,0.6,0.23,0.81
0.61,0.15,0.54,0.23,0.82
0.67,0.14,0.42,0.21,0.84
0.72,0.15,0.34,0.21,0.87
0.78,0.15,0.28,0.2,0.89
0.83,0.16,0.2,0.18,0.91
0.89,0.2,0.1,0.13,0.94
0.94,0.0,0.0,0.0,0.95
1.0,0.0,0.0,0.0,0.95
